Education,Marital_Status,Income,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,age,Accepted_Cmp,children,duration
Technical School,Married,15315,7,4,13,15,8,17,2,2,0,4,5,0,53,No,0,10.302076203513575
College Graduate,Together,87771,1492,38,287,50,57,33,1,5,10,4,6,0,64,Yes,1,10.501939310974219
College Graduate,Married,33039,30,8,12,8,8,12,1,2,0,4,5,0,45,No,1,10.200775724389688
College Graduate,Single,81741,249,153,940,58,134,38,0,6,6,7,2,0,43,No,0,10.433493041295916
Master,Together,71499,465,25,132,136,0,37,2,8,3,13,4,0,52,No,1,10.408852384211727
Technical School,Married,62466,129,129,259,168,121,83,5,6,3,12,4,0,53,No,1,9.850216746520648
PhD,Divorced,48799,174,18,81,28,6,24,3,3,2,7,3,0,60,No,1,10.044604152407027
PhD,Together,52157,189,2,29,3,2,40,2,3,2,5,4,0,73,No,1,9.458818161076888
College Graduate,Single,66565,747,10,161,65,40,42,4,4,2,9,8,0,61,No,1,10.961784166096281
Master,Together,29298,6,0,2,2,0,1,1,1,0,2,5,0,72,No,2,10.206251425963952
College Graduate,Single,47691,14,0,3,0,0,4,1,1,0,2,6,0,44,No,1,10.381473876340406
College Graduate,Together,38200,12,0,4,0,0,1,1,1,0,2,7,0,53,No,2,10.956308464522017
College Graduate,Married,44989,98,0,106,49,10,106,5,5,1,5,6,0,49,No,1,11.191877709331509
PhD,Married,38443,32,0,5,0,0,1,2,1,0,3,7,0,55,No,2,9.817362537075063
Technical School,Single,38593,51,12,49,17,24,24,3,4,1,3,8,0,45,No,1,10.18982432124116
PhD,Together,64413,200,5,44,0,10,20,1,5,1,5,5,0,53,No,1,10.30755190508784
Master,Married,36959,25,6,25,6,0,0,2,2,0,3,8,0,42,No,1,10.13780515628565
PhD,Married,61996,1050,12,144,0,0,24,3,6,4,8,5,0,46,Yes,1,10.80572667122975
College Graduate,Married,51287,117,0,22,13,0,30,3,4,1,3,7,0,55,No,2,9.642254163814739
College Graduate,Married,13260,9,4,17,10,2,7,4,3,0,3,8,0,53,No,2,10.247319187770934
PhD,Together,47472,56,0,11,0,0,8,2,2,0,4,5,0,57,No,2,10.181610768879763
Master,Together,54603,145,13,46,17,2,4,6,4,2,4,7,0,67,No,2,10.370522473191878
PhD,Married,45207,203,0,10,0,0,2,5,3,1,6,6,0,49,Yes,2,11.030230435774584
College Graduate,Together,40689,270,3,27,39,6,99,7,7,1,5,8,0,72,No,1,10.679899612137806
Technical School,Together,47821,9,0,16,6,6,10,1,1,0,3,8,0,56,No,2,10.088523842117272
Master,Married,27450,37,12,23,8,11,52,1,2,1,3,7,0,72,No,0,10.603239790098106
College Graduate,Together,39453,46,0,7,0,0,2,2,2,0,3,6,0,40,No,1,9.636778462240475
Technical School,Together,26850,31,1,13,7,2,9,4,2,1,4,4,0,52,No,2,9.595710700433493
College Graduate,Widow,79800,1060,21,530,32,0,224,1,5,11,5,3,0,68,Yes,0,11.161761350673055
Master,Married,61794,264,47,188,54,47,11,2,4,4,10,2,0,62,No,1,10.187086470454027
College Graduate,Together,53863,399,4,30,6,4,30,3,7,1,7,7,0,68,Yes,1,9.516313027606662
College Graduate,Together,24221,8,9,9,2,5,22,1,1,1,3,4,0,64,No,0,10.25553274013233
PhD,Single,39684,19,0,35,6,4,17,2,2,1,2,7,1,39,Yes,1,11.109742185717545
Master,Married,92163,817,183,797,106,163,20,0,5,11,5,2,0,48,Yes,0,10.942619210586356
Master,Single,69882,292,127,635,132,127,165,1,3,7,9,1,0,58,No,0,10.030914898471366
College Graduate,Together,33178,12,6,2,11,2,16,1,1,0,3,4,0,46,No,1,9.809148984713666
PhD,Married,59973,130,30,168,20,34,0,1,3,4,7,1,0,51,No,0,10.195300022815424
Master,Together,17459,6,4,16,3,10,30,3,3,1,2,7,0,48,Yes,1,10.173397216518367
College Graduate,Divorced,23910,16,12,18,7,1,13,1,2,0,3,7,0,54,No,1,11.071412274697696
Master,Married,42169,19,0,9,0,0,2,2,1,0,3,8,0,54,No,2,10.091261692904403
Technical School,Married,26224,4,7,15,13,9,15,3,2,1,3,6,0,45,No,1,10.466347250741501
College Graduate,Together,31089,31,3,31,2,8,4,3,3,0,4,8,0,42,No,1,11.263061829796943
College Graduate,Single,30081,36,0,2,0,0,4,1,1,0,3,7,0,62,No,1,10.748231804699977
College Graduate,Together,62807,526,28,135,10,21,99,3,5,3,12,5,0,63,No,1,11.224731918777092
College Graduate,Single,72906,400,32,519,71,75,54,1,3,4,9,1,0,68,No,0,10.178872918092631
PhD,Married,61467,410,16,114,0,5,49,3,5,2,10,5,0,75,No,2,10.950832762947753
Master,Together,49618,80,3,26,4,2,14,4,3,1,3,7,0,57,No,2,10.819415925165412
Master,Single,21888,88,10,46,2,3,64,4,5,1,2,10,0,37,Yes,1,10.89607574720511
College Graduate,Widow,42429,55,0,6,2,0,4,2,1,1,3,5,0,50,No,1,9.77629477526808
College Graduate,Divorced,26150,5,1,13,3,5,1,1,1,0,3,7,0,67,No,3,10.69906456764773
High School,Married,30801,8,4,5,15,2,11,2,1,0,3,7,0,48,No,1,11.071412274697696
College Graduate,Married,81168,410,0,592,147,22,22,1,6,4,7,3,0,58,Yes,0,9.543691535477983
Master,Single,26877,101,13,76,20,18,40,2,3,1,6,6,0,54,No,0,10.258270590919462
Master,Widow,45006,162,25,53,16,0,10,1,3,1,7,3,0,79,No,0,10.345881816107688
High School,Married,18978,2,8,1,4,7,15,1,1,0,3,8,0,50,No,1,10.945357061373487
College Graduate,Married,22574,25,0,8,2,0,2,2,2,0,3,7,0,56,No,3,10.066621035820216
PhD,Single,48240,389,91,248,64,49,41,3,6,3,13,5,0,54,Yes,0,11.032968286561715
College Graduate,Married,45837,215,13,87,17,17,24,5,6,2,5,7,0,49,No,2,10.323979009810632
Master,Single,35791,27,0,5,0,0,3,2,1,0,3,8,0,58,No,3,10.545744923568332
PhD,Together,162397,85,1,16,2,1,2,0,0,0,1,1,0,47,No,2,10.469085101528634
College Graduate,Widow,54162,5,6,10,6,5,10,1,1,0,3,4,0,45,No,2,10.679899612137806
Master,Married,30522,179,8,83,19,11,26,5,1,2,9,2,0,63,No,1,11.263061829796943
PhD,Married,54456,352,0,27,10,0,15,3,6,1,7,6,0,62,No,1,10.365046771617614
College Graduate,Single,31632,17,8,12,11,15,32,1,2,1,2,7,0,52,No,0,10.356833219256218
College Graduate,Widow,72298,625,35,169,58,17,35,1,4,3,6,1,0,74,Yes,0,9.702486881131646
Technical School,Single,36975,10,6,11,0,4,2,1,1,0,3,7,0,45,No,1,9.899498060689025
Technical School,Married,72635,390,22,323,104,35,107,1,6,8,6,3,0,68,Yes,0,10.469085101528634
College Graduate,Married,13624,10,2,15,2,1,6,2,2,0,3,6,0,47,No,1,10.835843029888204
College Graduate,Single,84196,215,63,507,231,31,190,1,8,4,7,3,0,48,No,1,10.469085101528634
College Graduate,Together,70971,1001,17,572,93,125,17,7,11,11,5,7,0,63,Yes,1,11.16723705224732
PhD,Divorced,34487,19,18,33,24,1,8,3,3,0,3,9,0,46,No,2,11.208304814054301
College Graduate,Single,28769,41,5,129,10,3,3,3,4,1,4,9,0,46,No,1,10.926192105863564
PhD,Married,69084,1181,107,199,39,30,30,2,7,3,13,8,0,53,No,1,10.006274241387178
PhD,Together,65488,603,45,207,36,18,54,1,3,4,6,1,0,65,No,0,9.442391056354095
Technical School,Married,62466,129,129,259,168,121,83,5,6,3,12,4,0,53,No,1,9.850216746520648
Technical School,Single,32218,10,24,15,13,1,30,1,2,1,3,7,0,63,Yes,0,9.765343372119553
College Graduate,Single,83917,514,22,732,42,198,79,1,6,7,7,3,0,50,Yes,0,10.595026237736711
College Graduate,Divorced,46102,14,0,1,0,0,1,1,1,0,2,7,0,61,No,3,9.702486881131646
College Graduate,Single,84574,387,20,713,38,54,163,1,9,11,11,5,0,71,No,0,10.466347250741501
College Graduate,Married,56181,121,103,69,8,44,48,1,4,2,7,4,0,61,No,1,10.86869723933379
Master,Divorced,63120,965,69,279,54,41,69,5,8,4,9,7,0,73,Yes,1,11.148072096737394
College Graduate,Married,73691,707,21,250,85,43,73,2,6,2,8,2,0,52,Yes,1,10.041866301619894
College Graduate,Together,63381,571,50,142,33,50,159,4,4,5,13,2,0,63,No,1,11.12890714122747
PhD,Together,76140,586,66,653,17,0,26,1,5,9,6,2,0,75,No,0,9.52726443075519
PhD,Divorced,62859,1063,89,102,16,12,25,4,9,4,6,6,0,64,No,1,10.893337896417979
College Graduate,Single,45906,305,3,27,4,3,144,2,5,4,4,5,0,59,Yes,1,10.5430070727812
Master,Together,77632,1200,105,758,0,42,147,1,4,2,6,2,0,76,Yes,0,10.70168834131873
PhD,Married,46463,163,2,40,8,11,11,7,3,1,6,6,0,52,No,2,10.261008441706593
College Graduate,Together,105471,1009,181,104,202,21,207,0,9,8,13,3,0,53,Yes,0,10.833105179101072
Master,Divorced,55282,125,6,73,8,4,19,1,3,1,6,4,0,53,No,1,9.940565822496007
Master,Married,78710,721,0,152,119,50,50,3,7,6,12,4,0,46,No,1,9.49988592288387
College Graduate,Together,66886,315,4,62,41,31,146,2,7,1,7,5,0,65,No,1,10.181610768879763
Master,Single,98777,1000,19,711,125,115,38,0,4,6,9,1,0,63,Yes,0,9.759867670545288
College Graduate,Together,29103,16,0,17,6,3,6,2,1,0,3,9,0,38,No,1,11.23568332192562
College Graduate,Married,67445,757,80,217,29,80,11,5,9,6,12,6,0,49,No,1,11.276751083732602
PhD,Together,50616,30,2,25,0,1,9,1,1,1,4,2,0,73,No,1,9.609399954369154
College Graduate,Divorced,49431,219,3,100,26,0,17,2,7,1,5,8,0,68,No,1,11.301391740816792
College Graduate,Divorced,153924,1,1,1,1,1,1,0,0,0,0,0,0,48,No,0,9.78724617841661
College Graduate,Together,61278,111,3,28,2,6,15,2,3,1,4,6,0,70,No,1,9.880333105179101
Technical School,Together,26490,45,47,52,21,20,25,2,3,1,5,6,0,65,No,0,11.164499201460188
PhD,Together,73059,410,112,420,0,82,71,1,9,3,13,4,0,76,No,1,10.225416381473877
PhD,Single,46734,100,1,39,6,1,76,4,3,2,3,6,0,57,Yes,3,10.08578599133014
College Graduate,Together,56253,509,0,65,7,11,5,4,7,2,9,6,0,60,No,1,10.956308464522017
College Graduate,Married,19986,3,6,5,0,2,6,1,0,0,3,7,0,38,No,1,10.019963495322838
College Graduate,Widow,58330,445,53,213,104,98,151,1,6,4,13,4,0,48,No,1,9.907711613050422
High School,Married,25965,2,2,11,41,7,11,1,2,0,3,8,0,43,No,0,11.205566963267168
Master,Together,14661,4,1,11,6,2,2,1,1,0,3,6,0,67,No,0,10.887862194843715
College Graduate,Married,18690,6,1,7,23,4,19,1,1,1,2,8,0,64,No,0,10.898813597992243
PhD,Together,45068,14,0,3,0,0,3,1,1,0,2,7,0,49,No,1,10.518366415697011
High School,Single,21063,1,10,11,19,3,15,2,2,0,3,6,0,36,No,1,10.156970111795575
PhD,Married,29187,26,0,6,0,0,2,1,1,0,3,8,0,55,No,1,10.537531371206937
Technical School,Married,54690,111,16,37,7,9,18,3,3,1,5,3,0,52,No,2,10.039128450832763
PhD,Married,59304,418,61,428,80,51,10,3,7,8,10,5,0,59,No,1,10.315765457449237
Master,Single,59247,327,9,122,19,14,83,5,5,2,9,6,0,61,No,2,10.03639060004563
College Graduate,Widow,66731,371,159,194,58,106,141,4,4,3,6,3,0,53,No,1,11.191877709331509
College Graduate,Married,77353,275,59,107,69,101,59,2,6,4,8,4,0,43,No,1,9.932352270134611
PhD,Single,52614,789,0,142,12,9,38,2,2,4,8,8,0,48,No,1,10.97273556924481
College Graduate,Married,26751,1,1,5,0,3,1,1,1,0,2,8,0,49,No,2,9.502623773671003
PhD,Married,81300,1004,12,145,32,12,36,3,10,3,5,5,0,60,Yes,1,11.060460871549168
College Graduate,Single,70337,187,81,149,25,43,91,1,2,2,12,1,0,44,No,0,9.885808806753365
Technical School,Married,36145,56,4,76,17,1,18,4,4,1,3,9,0,38,Yes,1,10.433493041295916
PhD,Single,65295,365,32,117,34,110,6,1,3,3,13,2,0,43,No,0,9.913187314624686
College Graduate,Divorced,68118,595,23,123,10,23,154,2,8,9,4,6,0,60,No,1,10.093999543691536
College Graduate,Divorced,68743,1132,134,384,175,134,115,1,11,5,13,7,0,56,No,0,11.227469769564225
Technical School,Together,41039,34,11,137,179,61,45,1,8,1,5,8,0,41,No,0,10.326716860597765
College Graduate,Together,38946,116,6,82,6,6,41,2,3,1,6,5,0,68,No,1,10.077572438968744
College Graduate,Together,65777,565,32,435,28,32,54,1,2,8,6,1,0,56,No,0,9.924138717773214
PhD,Divorced,66476,372,18,126,47,48,78,2,5,2,11,4,0,47,No,1,10.709901893680128
PhD,Single,86857,899,102,838,133,102,40,1,5,6,10,2,0,51,Yes,0,11.191877709331509
PhD,Married,160803,55,16,1622,17,3,4,15,0,28,1,0,0,41,No,0,11.298653890029659
PhD,Together,77845,760,40,480,0,40,26,1,3,5,12,1,0,34,Yes,0,9.519050878393795
PhD,Together,69476,260,86,559,63,9,67,1,4,6,4,2,0,54,No,0,10.143280857859914
PhD,Divorced,50611,459,0,24,6,0,4,6,4,5,7,6,0,63,Yes,1,11.131644992014602
College Graduate,Single,61209,466,0,224,119,49,99,1,5,3,4,2,0,53,No,0,10.24184348619667
Master,Together,42315,67,15,80,17,11,80,3,1,4,4,3,0,65,No,1,10.362308920830483
High School,Together,13084,2,0,7,3,7,10,1,1,0,3,6,0,71,No,0,10.052931781884554
Master,Widow,47570,67,1,20,0,2,31,3,2,2,2,7,0,74,Yes,2,10.482774355464294
Master,Married,61923,92,4,18,3,3,6,1,2,1,4,3,0,62,No,2,10.323979009810632
College Graduate,Single,34824,4,2,11,2,0,4,1,1,0,2,6,0,28,No,0,9.658681268537531
PhD,Single,26518,20,1,28,3,3,2,3,2,0,3,8,0,74,Yes,2,10.622404745608032
College Graduate,Single,45938,273,11,178,62,83,29,2,8,4,6,6,0,62,No,0,10.050193931097422
College Graduate,Together,78468,434,22,388,104,22,34,1,10,7,10,4,0,63,Yes,0,9.620351357517682
College Graduate,Divorced,78901,321,11,309,33,26,34,3,9,3,5,4,0,50,No,1,10.178872918092631
College Graduate,Married,71427,212,123,177,15,64,23,2,8,2,8,4,0,45,No,2,9.69701117955738
College Graduate,Divorced,71022,909,12,278,0,12,242,3,5,2,11,8,0,45,Yes,1,9.77629477526808
Master,Single,90247,1184,32,352,21,16,16,1,3,4,7,1,0,35,Yes,0,9.565594341775041
Master,Divorced,41335,112,19,21,16,14,5,3,4,1,4,7,0,55,No,1,9.904973762263289
College Graduate,Married,71952,656,80,455,52,107,93,2,8,4,8,4,0,37,Yes,1,10.863221537759525
PhD,Divorced,35682,23,0,8,6,2,18,1,1,1,3,2,0,53,No,1,9.404061145334246
College Graduate,Divorced,43185,537,6,42,16,6,30,2,9,3,6,8,0,72,No,1,10.616929044033768
PhD,Together,66375,712,0,45,0,0,191,3,2,4,5,7,0,75,Yes,1,10.000798539812914
Master,Married,35178,23,1,13,2,2,18,1,1,1,2,7,0,52,Yes,1,10.863221537759525
College Graduate,Married,25252,1,3,4,2,2,6,1,1,0,2,8,0,37,No,1,10.362308920830483
Master,Single,55250,664,58,83,32,0,66,4,7,5,10,5,0,58,No,1,11.085101528633357
College Graduate,Single,33249,6,10,21,19,14,42,2,2,1,3,6,0,48,No,1,10.75096965548711
College Graduate,Together,58398,299,5,201,21,21,49,3,5,4,8,4,0,70,No,0,10.523842117271275
College Graduate,Together,50272,99,13,66,43,8,4,3,4,1,5,7,0,41,No,1,10.291124800365047
PhD,Married,76618,749,40,294,121,160,147,1,3,2,5,1,0,48,No,0,10.956308464522017
Technical School,Divorced,87305,345,25,501,63,138,80,1,5,3,8,2,0,63,Yes,0,11.161761350673055
College Graduate,Together,25851,9,4,18,7,5,5,2,2,0,3,7,0,45,No,1,10.775610312571297
College Graduate,Divorced,58710,440,81,368,0,122,174,6,11,5,9,6,0,53,No,1,10.644307551905088
College Graduate,Single,45160,8,2,5,3,0,3,1,1,0,2,7,0,65,No,2,9.650467716176136
Master,Married,74806,670,9,249,0,28,9,2,5,4,5,4,0,58,No,1,10.92345425507643
College Graduate,Married,59111,524,0,134,28,28,155,1,11,1,8,7,0,69,No,0,10.55669632671686
PhD,Married,18988,6,0,6,2,1,1,2,1,0,3,7,0,39,No,1,9.49988592288387
College Graduate,Married,72190,597,166,597,172,166,249,1,5,6,4,3,0,58,No,0,10.770134610997033
College Graduate,Married,7500,7,0,12,13,7,32,5,4,1,2,9,0,47,Yes,1,11.306867442391056
College Graduate,Married,44794,54,0,7,0,0,4,1,2,0,3,6,0,57,No,1,9.456080310289757
College Graduate,Married,80395,445,25,706,80,76,48,1,6,5,12,2,0,68,Yes,0,9.995322838238648
Master,Divorced,75012,294,142,218,164,58,151,1,3,8,11,1,0,47,No,0,9.822838238649327
Master,Married,56962,292,3,77,10,3,26,7,6,3,5,7,0,58,No,3,10.11316449920146
College Graduate,Together,89891,412,22,132,59,28,183,1,11,6,8,4,0,32,Yes,0,10.603239790098106
PhD,Divorced,35946,8,0,3,0,0,0,1,0,0,3,5,0,74,No,2,10.15149441022131
PhD,Together,53593,349,4,78,6,0,43,8,7,2,6,8,0,70,No,2,11.290440337668263
College Graduate,Married,66373,328,9,124,12,24,109,7,4,2,10,3,0,45,No,2,10.444444444444445
PhD,Divorced,45072,144,2,99,7,2,30,5,6,1,4,8,0,75,No,3,10.0994752452658
College Graduate,Divorced,89694,1126,28,211,37,28,42,3,4,3,4,5,0,50,Yes,2,10.118640200775724
College Graduate,Married,72025,967,0,617,43,50,0,1,4,8,13,2,0,74,Yes,0,9.565594341775041
College Graduate,Married,67432,432,79,341,177,136,170,2,8,5,4,4,0,50,No,1,10.649783253479352
Master,Together,70545,138,39,63,55,18,21,1,4,1,7,2,0,71,No,1,9.469769564225416
High School,Married,17487,0,0,1,7,4,6,1,1,0,2,7,0,34,No,1,10.679899612137806
College Graduate,Together,62882,509,133,497,78,24,97,2,7,5,6,4,0,54,No,1,11.284964636094
PhD,Single,64108,948,10,86,13,21,21,4,6,9,11,5,0,70,No,1,10.666210358202145
Master,Together,34941,39,2,25,4,3,24,2,3,0,3,8,0,67,No,2,10.712639744467259
PhD,Single,48767,28,1,21,3,0,10,3,2,1,3,5,0,73,No,3,9.888546657540497
Technical School,Together,38702,13,11,24,13,8,40,2,3,0,4,6,0,45,No,1,10.30755190508784
College Graduate,Married,82224,307,26,360,138,31,40,1,6,9,5,3,0,59,Yes,0,9.822838238649327
College Graduate,Together,83844,901,31,345,75,31,191,1,4,4,11,1,0,71,Yes,0,10.52931781884554
Technical School,Married,17003,2,5,12,4,8,7,3,2,0,4,5,0,48,No,1,9.951517225644535
College Graduate,Single,71163,283,17,372,138,106,44,1,3,8,12,1,0,28,No,0,9.705110654802645
College Graduate,Single,33697,4,3,7,0,3,11,1,1,0,2,7,0,53,Yes,1,10.184348619666896
Technical School,Married,63564,769,80,252,15,34,65,1,10,10,7,6,0,69,Yes,0,9.811886835500799
PhD,Together,83443,518,42,742,55,56,84,1,6,10,5,2,0,51,No,0,9.89128450832763
PhD,Together,51518,350,8,66,17,4,4,2,3,2,10,3,0,65,No,1,10.135067305498517
College Graduate,Widow,58330,445,53,213,104,98,151,1,6,4,13,4,0,48,No,1,9.907711613050422
College Graduate,Married,80952,778,178,689,41,27,44,1,8,5,11,8,0,54,Yes,0,10.729066849190053
College Graduate,Together,75507,709,93,374,104,80,80,1,8,6,6,3,0,44,No,0,9.557380789413644
Technical School,Together,63855,359,35,314,93,116,89,1,7,3,13,4,0,45,No,0,10.781086014145561
PhD,Together,62220,799,12,375,16,12,12,5,7,6,5,6,0,51,Yes,1,11.279488934519735
College Graduate,Married,58512,895,10,101,13,0,152,5,3,4,8,8,0,59,No,1,10.173397216518367
Master,Married,40662,40,2,23,0,4,23,2,2,1,3,4,0,44,No,1,10.688113164499201
PhD,Married,38829,76,0,7,0,0,16,1,3,2,2,5,0,64,No,1,9.62856490987908
Technical School,Married,35523,11,5,22,12,5,11,2,3,0,3,7,0,42,No,1,10.135067305498517
College Graduate,Single,79146,245,16,223,21,43,16,2,8,1,8,6,0,56,No,2,9.5792835957107
Master,Married,78285,647,107,391,175,67,40,1,6,4,10,3,0,35,No,0,10.066621035820216
PhD,Single,31626,39,1,9,2,1,34,1,2,1,2,7,0,45,Yes,1,10.534793520419804
College Graduate,Single,75127,203,35,305,46,17,227,1,2,11,5,1,0,71,No,0,9.502623773671003
College Graduate,Married,48726,138,3,38,4,0,59,3,3,2,4,6,0,68,No,1,10.570385580652522
College Graduate,Married,74985,587,51,898,247,0,86,1,3,6,7,2,0,46,No,0,11.19461556011864
College Graduate,Together,67430,595,97,291,127,133,121,1,11,5,12,6,0,36,No,0,11.211042664841433
Technical School,Married,46891,43,12,23,29,15,61,1,2,1,4,4,0,58,No,1,10.222678530686744
Master,Married,62058,301,7,74,10,0,58,4,6,1,7,6,0,67,No,1,10.49098790782569
College Graduate,Married,72063,180,32,348,76,32,90,2,5,2,12,2,0,44,No,1,10.38694957791467
PhD,Married,78939,794,115,243,150,0,205,1,8,5,6,3,0,72,No,0,9.94330367328314
College Graduate,Single,42720,392,5,91,28,26,112,8,7,3,7,8,0,58,Yes,2,10.578599133013919
College Graduate,Married,33622,39,1,22,3,4,12,3,2,0,4,7,0,51,No,2,10.60871549167237
PhD,Together,6835,107,2,12,2,2,12,0,0,0,1,20,0,66,No,1,10.953570613734884
College Graduate,Together,41452,13,0,3,0,0,0,1,1,0,2,7,0,70,No,2,10.712639744467259
PhD,Single,40760,70,0,17,0,0,6,2,2,1,3,6,0,58,No,1,10.228154232261009
PhD,Together,74250,680,11,392,75,0,0,1,2,11,4,1,0,65,No,0,9.820100387862194
Master,Single,51124,26,1,11,0,1,4,2,1,0,3,3,0,68,No,2,9.926876568560346
College Graduate,Single,72258,522,0,522,227,120,134,2,6,9,5,2,0,52,No,1,10.19256217202829
PhD,Single,71466,412,12,546,78,182,0,1,4,4,10,1,0,49,No,0,9.63130276066621
College Graduate,Together,36283,6,5,5,8,0,5,2,1,0,3,4,0,47,No,2,9.606662103582021
College Graduate,Single,20587,2,3,6,4,1,9,1,1,1,2,7,0,53,No,1,9.532740132329454
College Graduate,Married,30467,1,3,8,2,5,5,1,1,0,2,7,0,51,No,1,9.677846224047457
College Graduate,Together,31590,6,2,15,6,6,3,1,1,0,3,8,0,51,No,1,10.428017339721652
High School,Married,20425,4,12,5,3,16,17,2,2,0,3,7,0,37,No,1,11.063198722336299
Master,Together,17144,18,2,19,0,2,6,5,3,0,4,7,0,63,No,2,9.765343372119553
PhD,Divorced,42564,324,48,186,39,18,198,6,6,8,4,7,0,55,Yes,1,10.885124344056582
Master,Married,43783,327,9,125,25,4,139,6,7,1,8,7,0,45,Yes,1,9.483458818161077
College Graduate,Divorced,40780,229,27,71,13,3,34,4,7,1,5,9,0,47,No,1,11.202829112480037
Master,Together,62847,521,168,706,80,76,61,1,3,6,4,2,0,78,No,0,10.849532283823864
PhD,Married,82017,184,23,446,30,23,23,1,5,4,7,2,0,66,Yes,0,11.03844398813598
College Graduate,Single,16813,4,8,11,12,2,13,1,2,0,3,7,0,73,Yes,0,10.343143965320557
College Graduate,Married,51267,183,2,64,7,2,12,4,3,3,5,4,0,45,No,2,10.063883185033083
College Graduate,Single,46524,31,19,35,26,14,52,2,1,1,5,3,0,62,No,1,10.630618297969427
Master,Single,45183,219,3,60,12,9,12,1,4,1,7,7,0,61,Yes,0,10.835843029888204
PhD,Married,70421,479,28,136,75,14,35,3,10,3,7,6,0,69,No,1,9.401323294547113
Technical School,Divorced,60161,584,44,212,46,8,177,3,11,4,8,8,0,58,No,1,11.079625827059091
College Graduate,Together,73926,627,91,597,159,91,15,1,6,5,12,3,0,50,No,0,10.723591147615787
College Graduate,Married,19329,24,1,16,12,2,5,3,4,0,3,8,0,55,No,1,9.937827971708876
Master,Married,61872,330,5,159,36,27,16,4,4,4,9,4,0,53,No,1,9.940565822496007
College Graduate,Widow,46984,19,1,10,2,1,8,1,1,0,3,5,0,67,No,2,10.65799680584075
College Graduate,Married,34838,28,23,29,29,14,47,3,2,1,4,6,0,72,No,2,10.838580880675336
PhD,Single,82716,606,148,228,15,148,22,1,6,8,13,2,0,79,No,0,10.044604152407027
College Graduate,Married,48192,1039,43,204,153,58,29,3,2,8,12,8,0,65,Yes,0,10.627880447182296
Master,Married,49681,411,0,26,0,0,21,6,7,1,7,7,0,47,No,2,10.047342003194158
Master,Married,56850,34,1,19,2,7,0,1,1,1,3,2,0,52,No,1,9.666894820898928
College Graduate,Married,55267,161,28,136,32,3,45,4,3,4,6,3,0,66,No,1,10.08578599133014
College Graduate,Married,59666,623,53,178,23,17,133,7,3,2,8,8,0,51,Yes,2,10.668948208989278
College Graduate,Single,72504,604,26,470,123,161,94,2,5,9,6,2,0,51,No,1,10.627880447182296
College Graduate,Married,26872,3,10,8,3,16,32,1,1,1,2,6,0,42,No,0,10.0994752452658
College Graduate,Single,21359,12,2,17,6,1,10,2,2,0,3,8,0,51,Yes,1,10.589550536162447
College Graduate,Single,73170,184,174,256,50,30,32,1,5,4,6,2,0,48,No,0,9.477983116586813
Master,Married,52750,393,0,239,90,69,69,6,5,7,9,4,0,68,No,1,10.794775268081223
PhD,Together,91820,410,73,747,76,161,30,0,5,5,12,1,0,37,No,0,9.995322838238648
PhD,Together,65968,376,9,83,19,4,4,2,5,4,7,3,0,53,No,1,9.530002281542323
College Graduate,Married,30772,7,2,4,2,1,4,1,1,0,2,6,0,47,No,2,9.69701117955738
College Graduate,Single,22507,68,0,226,51,157,68,3,10,2,4,9,0,69,No,0,10.991900524754733
College Graduate,Married,65685,642,14,49,0,7,57,1,9,2,9,5,0,51,No,1,9.650467716176136
Technical School,Married,25804,8,7,9,13,6,12,2,2,0,3,8,0,45,No,1,10.222678530686744
PhD,Single,76412,840,53,804,23,71,17,1,5,4,8,3,0,43,Yes,0,10.548482774355465
College Graduate,Married,22063,7,10,13,3,11,11,2,2,0,3,7,0,51,No,1,10.288386949577916
College Graduate,Single,57091,464,5,64,7,0,37,1,7,3,7,5,0,62,Yes,0,9.436915354779831
College Graduate,Married,22419,30,3,47,19,21,42,1,3,2,2,8,0,60,No,0,10.595026237736711
College Graduate,Together,87771,1492,38,287,50,57,33,1,5,10,4,6,0,64,Yes,1,10.501939310974219
Technical School,Divorced,78353,752,122,476,39,153,34,1,10,2,11,8,0,64,No,1,10.600501939310975
College Graduate,Married,93404,1279,15,287,20,0,15,3,3,4,7,5,0,69,Yes,3,10.5430070727812
College Graduate,Divorced,37859,22,1,8,2,1,2,2,1,0,3,8,0,61,No,3,10.857745836185261
PhD,Widow,80995,860,28,409,73,56,56,1,8,9,4,4,0,65,No,1,10.532055669632673
College Graduate,Together,16529,3,0,5,13,0,1,1,1,0,3,6,0,39,No,1,9.727013461099704
PhD,Divorced,55412,10,5,28,11,1,8,1,2,0,3,5,0,47,No,2,9.998060689025781
College Graduate,Single,48789,351,16,156,7,5,145,1,6,4,7,6,0,31,No,0,11.197353410905773
PhD,Together,56575,421,5,90,0,16,10,3,7,3,7,5,0,56,No,2,10.548482774355465
Technical School,Together,25130,2,5,7,0,18,18,2,2,0,3,7,0,43,No,1,10.13780515628565
College Graduate,Married,35441,25,1,9,2,1,1,2,1,0,3,8,0,56,No,2,10.767396760209902
College Graduate,Married,71391,336,123,274,46,123,141,5,6,5,12,3,0,67,No,1,10.649783253479352
Master,Single,49494,191,9,97,0,6,82,2,6,1,5,7,0,51,No,1,10.575861282226786
